Model	Total	Test 1	Test 2	Test 3	Test 4	Test 5	Test 6	Test 7	Test 8	Test 9	Test 10	Test 11	Test 12	Test 13	Test 14	Test 15	Test 16	Test 17	Test 18	Test 19	Test 20
codegemma:7b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
codeqwen	11	P	P	F	P	P	P	F	F	P	F	P	F	P	F	P	F	P	F	F	P
mistral-nemo	8	P	P	F	P	F	F	F	F	F	F	P	F	F	P	P	F	P	F	F	P
qwen3:14b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
llama3.1:8b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
gemma3:12b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
dolphincoder:15b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
mistral	6	P	F	F	F	F	F	F	F	P	F	F	F	P	P	F	F	P	F	F	P
qwen2.5-coder:7b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
falcon3:10b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
granite-code:8b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
yi-coder:9b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
deepcoder:14b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
opencoder:8b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
deepseek-r1:14b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
deepseek-coder-v2	13	P	P	P	P	P	P	F	P	F	F	P	F	P	P	F	P	P	F	F	P
qwen3:14b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
starcoder2:15b	0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
phi4	11	P	P	F	P	P	F	F	F	P	F	P	F	P	P	F	F	P	P	F	P
